Year,Afghanistan,Albania,Algeria,Angola,Argentina,Australia,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belize,Benin,Bhutan,Bolivia,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Cape Verde,Central African Republic,Chad,Chile,Colombia,Comoros,Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Democratic Republic of Congo,Denmark,Djibouti,Dominican Republic,East Timor,Ecuador,El Salvador,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,European Union (27),Fiji,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Iceland,Indonesia,Iran,Ireland,Italy,Jamaica,Kazakhstan,Kenya,Kyrgyzstan,Laos,Latin America and Caribbean (WB),Latvia,Lebanon,Lesotho,Libya,Lithuania,Low-income countries,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Myanmar,Namibia,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North America (WB),Norway,Oman,Papua New Guinea,Paraguay,Peru,Philippines,Portugal,Qatar,Romania,Rwanda,Sao Tome and Principe,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Sudan,Spain,Sri Lanka,Sub-Saharan Africa (WB),Sudan,Suriname,Switzerland,Tajikistan,Tanzania,Thailand,Togo,Tunisia,Uganda,Ukraine,United States,Uruguay,Uzbekistan,Vietnam,World,Yemen,Zambia,Zimbabwe
2010,0.05,0.06,0.03,2.05,0.26,0.09,0.12,0.74,0.08,0.01,0.64,0.37,0.62,0.68,0.26,0.3,13.33,0.39,0.05,0.42,0.6,0.24,2.89,0.43,2.92,0.93,0.31,0.36,0.03,2.97,0.29,1.86,0.04,0.27,0.09,0.75,0.08,0.59,0.88,0.15,0.27,0.39,7.0,0.41,33.01,0.48,0.13419925,0.15,0.2,2.55,2.13,0.21,0.07,1.43,0.18,0.07,1.45,3.64,1.01,1.43,0.1,0.09,0.35,0.12,0.12,0.15,0.91,0.18,3.09,0.26,0.3,0.35192746,0.39,0.05,22.85,0.13,0.15,1.4035996,0.18,0.25,7.11,0.28,0.87,0.29,1.63,0.27,0.71,0.03,0.06,0.08,0.57,9.69,0.11,0.07,0.2,0.14,1.12,0.23,0.07,0.1,0.55,0.25,0.25,0.1,0.29,0.1,0.08,1.54,0.41,0.22,0.04,1.42,0.19,0.01,0.04,15.62,2.05,0.16,0.02,2.8909316,0.16,1.09,0.11,0.37,4.15,0.41,1.63,0.07,5.34,0.49,0.23,0.43,0.18,0.26,0.49,0.05,10.57,10.48
2011,0.05,0.06,0.04,1.87,0.26,0.09,0.11,0.69,0.08,0.01,0.6,0.38,0.62,0.61,0.24,0.31,12.64,0.39,0.05,0.39,0.54,0.2,2.68,0.42,2.84,0.8,0.32,0.38,0.02,3.03,0.3,1.73,0.04,0.28,0.09,0.7,0.08,0.55,0.84,0.16,0.27,0.37,7.17,0.36,31.6,0.44,0.12987559,0.17,0.19,2.32,2.0,0.22,0.06,1.37,0.18,0.03,1.33,3.36,0.96,1.39,0.11,0.09,0.34,0.1,0.12,0.15,0.88,0.2,2.84,0.22,0.29,0.34970948,0.43,0.06,21.85,0.13,0.15,1.3379089,0.18,0.29,6.78,0.26,0.82,0.26,1.56,0.27,0.7,0.03,0.06,0.08,0.55,9.35,0.1,0.07,0.2,0.13,1.09,0.22,0.07,0.1,0.56,0.24,0.22,0.1,0.28,0.11,0.08,1.45,0.36,0.17,0.04,1.32,0.18,0.01,0.04,15.03,2.07,0.16,0.02,2.7404623,0.15,1.02,0.11,0.27,4.11,0.39,1.45,0.07,5.16,0.47,0.22,0.42,0.18,0.24,0.48,0.05,10.19,9.6
2012,0.05,0.06,0.04,1.83,0.26,0.09,0.1,0.64,0.08,0.01,0.56,0.39,0.63,0.54,0.23,0.3,11.64,0.39,0.05,0.36,0.49,0.19,2.44,0.41,2.59,0.78,0.33,0.35,0.02,3.1,0.31,1.54,0.04,0.29,0.09,0.67,0.08,0.5,0.78,0.17,0.25,0.35,7.29,0.32,31.51,0.4,0.13026157,0.19,0.19,2.1,1.96,0.23,0.07,1.3,0.18,0.02,1.26,3.1,0.94,1.33,0.1,0.1,0.32,0.08,0.12,0.14,0.86,0.21,2.57,0.2,0.28,0.34411243,0.46,0.06,21.94,0.13,0.16,1.2738367,0.18,0.33,6.37,0.26,0.76,0.25,1.45,0.27,0.67,0.03,0.06,0.07,0.54,8.74,0.1,0.07,0.2,0.12,1.07,0.22,0.08,0.1,0.58,0.24,0.22,0.12,0.26,0.11,0.08,1.36,0.31,0.14,0.04,1.23,0.17,0.02,0.04,14.31,2.08,0.16,0.02,2.5936852,0.14,0.99,0.11,0.21,4.14,0.37,1.31,0.06,4.97,0.46,0.22,0.43,0.18,0.22,0.46,0.05,9.76,8.65
2013,0.05,0.06,0.05,1.68,0.25,0.09,0.09,0.6,0.08,0.01,0.53,0.4,0.64,0.5,0.23,0.28,10.51,0.39,0.06,0.33,0.43,0.18,2.13,0.44,2.39,0.75,0.34,0.34,0.02,3.23,0.31,1.34,0.04,0.29,0.09,0.63,0.07,0.39,0.72,0.18,0.27,0.33,7.22,0.28,31.83,0.36,0.12723361,0.17,0.19,1.83,1.86,0.24,0.07,1.26,0.16,0.01,1.21,2.85,0.91,1.26,0.09,0.1,0.3,0.07,0.12,0.13,0.82,0.22,2.32,0.19,0.28,0.3386534,0.49,0.06,21.71,0.12,0.16,1.1908871,0.18,0.36,5.74,0.25,0.73,0.24,1.33,0.27,0.65,0.03,0.06,0.06,0.52,8.26,0.09,0.06,0.19,0.11,0.98,0.21,0.08,0.1,0.6,0.23,0.2,0.14,0.25,0.11,0.08,1.24,0.27,0.12,0.04,1.24,0.15,0.02,0.03,13.41,2.04,0.16,0.02,2.401752,0.14,0.92,0.1,0.19,3.9,0.34,1.21,0.06,4.55,0.44,0.21,0.47,0.18,0.21,0.45,0.05,9.41,8.03
2014,0.05,0.06,0.06,1.46,0.25,0.08,0.08,0.56,0.08,0.01,0.51,0.4,0.65,0.5,0.21,0.28,10.0,0.38,0.06,0.29,0.4,0.17,1.98,0.43,2.19,0.7,0.34,0.33,0.02,3.19,0.32,1.2,0.04,0.3,0.09,0.56,0.07,0.34,0.68,0.18,0.27,0.32,6.54,0.23,31.27,0.32,0.12610309,0.18,0.19,1.58,1.85,0.25,0.07,1.23,0.13,0.01,1.2,2.7,0.9,1.17,0.09,0.1,0.28,0.06,0.13,0.13,0.75,0.23,2.09,0.19,0.26,0.33115214,0.54,0.06,20.52,0.12,0.17,1.1038556,0.18,0.39,5.1,0.24,0.71,0.24,1.25,0.27,0.64,0.03,0.06,0.06,0.5,7.89,0.08,0.06,0.19,0.1,0.92,0.22,0.07,0.1,0.62,0.22,0.2,0.17,0.24,0.11,0.08,1.11,0.23,0.1,0.04,1.16,0.14,0.03,0.03,12.61,2.02,0.16,0.02,2.2248213,0.13,0.87,0.1,0.18,3.68,0.32,1.1,0.06,4.16,0.43,0.22,0.44,0.18,0.19,0.43,0.05,9.04,7.28
2015,0.06,0.05,0.07,1.3,0.25,0.08,0.08,0.52,0.08,0.01,0.48,0.38,0.65,0.45,0.21,0.27,9.91,0.38,0.06,0.26,0.36,0.16,1.85,0.43,1.91,0.64,0.35,0.33,0.02,3.17,0.33,1.04,0.04,0.31,0.09,0.54,0.07,0.31,0.64,0.18,0.27,0.31,6.63,0.19,28.78,0.27,0.12259937,0.2,0.18,1.39,1.74,0.26,0.07,1.22,0.11,0.01,1.13,2.58,0.91,1.1,0.1,0.1,0.25,0.05,0.13,0.13,0.72,0.25,1.9,0.19,0.26,0.33045197,0.58,0.06,18.93,0.12,0.17,1.0183111,0.18,0.43,4.52,0.23,0.67,0.25,1.16,0.27,0.64,0.02,0.06,0.05,0.48,8.11,0.07,0.06,0.18,0.1,0.9,0.22,0.07,0.1,0.63,0.21,0.23,0.19,0.22,0.12,0.08,1.01,0.2,0.11,0.04,1.08,0.13,0.03,0.02,11.79,1.95,0.16,0.02,2.0640914,0.13,0.81,0.09,0.18,3.43,0.3,1.07,0.06,3.81,0.43,0.22,0.43,0.18,0.18,0.41,0.06,8.32,6.5
2016,0.06,0.05,0.08,1.21,0.24,0.07,0.07,0.49,0.08,0.01,0.47,0.37,0.66,0.38,0.21,0.26,9.44,0.38,0.06,0.22,0.31,0.16,1.68,0.42,1.7,0.59,0.36,0.33,0.02,3.44,0.33,0.96,0.04,0.31,0.09,0.51,0.06,0.28,0.63,0.18,0.26,0.3,6.73,0.17,26.69,0.26,0.12083856,0.23,0.18,1.49,1.67,0.27,0.07,1.21,0.09,0.04,1.11,2.38,0.91,1.02,0.11,0.1,0.23,0.05,0.13,0.12,0.69,0.26,1.66,0.19,0.25,0.32756028,0.62,0.06,16.31,0.12,0.17,0.9568308,0.17,0.46,4.08,0.23,0.63,0.25,1.09,0.26,0.6,0.02,0.06,0.05,0.45,7.75,0.06,0.06,0.18,0.09,0.87,0.22,0.07,0.1,0.64,0.22,0.25,0.2,0.21,0.12,0.08,0.93,0.16,0.12,0.04,1.0,0.11,0.03,0.02,11.09,1.98,0.17,0.02,1.9162945,0.13,0.83,0.08,0.17,3.25,0.27,0.97,0.06,3.64,0.42,0.22,0.44,0.18,0.16,0.4,0.06,7.57,5.64
2017,0.06,0.05,0.07,1.15,0.24,0.07,0.06,0.46,0.08,0.01,0.46,0.34,0.66,0.32,0.2,0.25,8.68,0.38,0.06,0.19,0.24,0.14,1.41,0.44,1.54,0.58,0.36,0.31,0.02,3.81,0.34,0.73,0.04,0.32,0.09,0.47,0.06,0.27,0.67,0.19,0.24,0.3,6.36,0.17,23.09,0.23,0.12029249,0.25,0.18,1.35,1.6,0.27,0.07,1.25,0.08,0.05,1.06,2.11,0.92,0.92,0.1,0.09,0.21,0.05,0.13,0.12,0.69,0.28,1.44,0.19,0.24,0.32389677,0.63,0.06,13.71,0.11,0.17,0.8802045,0.16,0.49,3.39,0.22,0.59,0.24,1.05,0.26,0.6,0.02,0.06,0.05,0.42,7.6,0.06,0.06,0.17,0.08,0.82,0.21,0.06,0.1,0.66,0.21,0.25,0.23,0.2,0.12,0.08,0.76,0.12,0.13,0.05,0.88,0.1,0.03,0.02,10.1,1.95,0.17,0.01,1.7291057,0.12,0.83,0.07,0.17,2.96,0.25,0.85,0.06,3.32,0.4,0.21,0.43,0.18,0.14,0.38,0.06,7.3,4.82
2018,0.06,0.05,0.07,1.08,0.23,0.06,0.06,0.44,0.08,0.01,0.45,0.3,0.67,0.28,0.19,0.25,8.12,0.38,0.06,0.17,0.19,0.13,1.18,0.44,1.35,0.51,0.36,0.31,0.02,3.82,0.35,0.57,0.04,0.33,0.08,0.42,0.05,0.24,0.68,0.2,0.23,0.29,5.82,0.15,20.06,0.21,0.11531329,0.27,0.18,1.29,1.52,0.27,0.07,1.23,0.08,0.06,0.99,1.99,0.98,0.83,0.11,0.09,0.2,0.04,0.13,0.1,0.75,0.29,1.27,0.19,0.23,0.32062835,0.64,0.06,11.35,0.11,0.17,0.7979538,0.16,0.46,2.81,0.22,0.54,0.23,1.04,0.25,0.6,0.02,0.06,0.05,0.39,6.87,0.04,0.05,0.16,0.07,0.81,0.21,0.05,0.1,0.67,0.21,0.26,0.25,0.18,0.12,0.08,0.65,0.09,0.14,0.05,0.79,0.08,0.03,0.02,8.95,2.03,0.17,0.01,1.5467457,0.11,0.88,0.05,0.17,2.69,0.23,0.75,0.06,2.91,0.37,0.21,0.45,0.18,0.12,0.36,0.06,6.94,3.8
2019,0.06,0.05,0.07,1.01,0.23,0.05,0.05,0.42,0.08,0.01,0.44,0.26,0.67,0.23,0.17,0.23,7.27,0.38,0.06,0.16,0.16,0.12,1.04,0.42,1.2,0.44,0.37,0.31,0.01,4.0,0.36,0.44,0.04,0.33,0.08,0.37,0.05,0.21,0.69,0.17,0.23,0.29,5.68,0.14,18.73,0.19,0.111525044,0.28,0.18,1.13,1.46,0.28,0.07,1.19,0.09,0.06,0.91,1.77,0.95,0.8,0.12,0.08,0.18,0.04,0.13,0.08,0.73,0.31,1.21,0.19,0.22,0.31820878,0.64,0.06,9.82,0.1,0.16,0.7126749,0.14,0.52,2.4,0.24,0.5,0.4,0.97,0.24,0.58,0.02,0.06,0.04,0.36,6.13,0.03,0.05,0.15,0.07,0.78,0.2,0.04,0.1,0.65,0.2,0.27,0.28,0.17,0.13,0.08,0.58,0.08,0.14,0.05,0.69,0.06,0.03,0.01,8.14,2.07,0.17,0.01,1.3928668,0.11,0.92,0.05,0.17,2.34,0.22,0.64,0.06,2.62,0.34,0.2,0.44,0.18,0.11,0.35,0.06,5.75,3.11
2020,0.06,0.05,0.07,0.94,0.22,0.04,0.05,0.39,0.08,0.01,0.44,0.23,0.67,0.21,0.17,0.22,6.7,0.38,0.06,0.14,0.14,0.12,0.88,0.43,1.04,0.37,0.37,0.3,0.01,4.32,0.36,0.36,0.04,0.34,0.07,0.3,0.04,0.2,0.69,0.16,0.2,0.28,5.7,0.13,16.17,0.17,0.10507172,0.3,0.17,1.03,1.39,0.28,0.06,1.03,0.11,0.07,0.8,1.6,1.0,0.69,0.11,0.07,0.17,0.04,0.13,0.07,0.75,0.33,1.18,0.19,0.21,0.31417042,0.63,0.06,8.91,0.1,0.16,0.63728994,0.13,0.53,2.22,0.26,0.48,0.19,0.9,0.24,0.58,0.03,0.06,0.04,0.33,5.27,0.02,0.05,0.14,0.06,0.67,0.2,0.03,0.1,0.65,0.2,0.28,0.3,0.15,0.13,0.08,0.53,0.07,0.14,0.05,0.6,0.04,0.03,0.01,7.35,2.07,0.17,0.01,1.2308513,0.11,0.97,0.05,0.17,1.88,0.21,0.54,0.06,2.41,0.32,0.2,0.47,0.18,0.1,0.33,0.06,4.69,2.73
2021,0.07,0.05,0.07,0.86,0.21,0.04,0.04,0.38,0.08,0.01,0.45,0.21,0.67,0.2,0.16,0.22,6.03,0.39,0.06,0.12,0.13,0.11,0.77,0.39,0.95,0.31,0.37,0.3,0.01,3.8,0.37,0.33,0.04,0.35,0.07,0.26,0.04,0.19,0.67,0.17,0.19,0.28,5.77,0.11,14.88,0.17,0.10507172,0.32,0.17,1.15,1.4,0.28,0.06,0.86,0.14,0.09,0.76,1.56,1.02,0.58,0.12,0.07,0.16,0.04,0.13,0.04,0.76,0.35,1.17,0.19,0.19,0.3138617,0.62,0.06,8.1,0.1,0.16,0.5993322,0.12,0.6,1.93,0.28,0.42,0.2,0.92,0.23,0.59,0.02,0.06,0.04,0.32,5.16,0.02,0.05,0.14,0.06,0.44,0.2,0.02,0.1,0.64,0.2,0.29,0.36,0.14,0.13,0.08,0.52,0.06,0.15,0.05,0.54,0.01,0.03,0.01,6.9,2.05,0.17,0.01,1.0951718,0.11,1.21,0.05,0.17,1.55,0.19,0.5,0.06,2.4,0.3,0.2,0.49,0.18,0.09,0.31,0.06,4.0,2.37
